bin,threads,runs,mean_rps,median_rps,std_rps,mean_p99_ms
echo_asio,1.0,3,122566.96,122468.3,802.6704920451477,9.75
echo_asio,2.0,3,218821.2333333333,218788.83,1712.1949781591236,5.486666666666667
echo_asio,4.0,3,364303.80666666664,365664.63,5856.427793376547,2.8766666666666665
echo_asio,8.0,3,482097.55666666664,481240.62,3941.079315191858,2.5533333333333332
echo_libuv,1.0,3,116544.33666666667,116671.71,378.8640614169348,10.236666666666666
echo_libuv,2.0,3,232854.91666666666,232583.29,2422.2892664034343,5.346666666666667
echo_libuv,4.0,3,347412.4033333333,350511.66,10633.73456246834,3.6666666666666665
echo_libuv,8.0,3,554873.6900000001,554192.09,2854.880784919021,2.4233333333333333
echo_uring,1.0,3,141899.12333333332,142127.05,1053.6250874639109,8.636666666666668
echo_uring,2.0,3,289031.73,288274.13,2410.652285689519,4.173333333333333
echo_uring,4.0,3,363296.0633333333,363869.77,2495.823423528457,2.75
echo_uring,8.0,3,535083.3866666666,528680.95,15062.35700022528,2.01
echo_uvent,1.0,3,115420.41333333333,116339.5,1788.4537149541636,10.61
echo_uvent,2.0,3,223060.6,222967.94,2707.619388244947,5.086666666666667
echo_uvent,4.0,3,363307.57,365004.34,3125.60291155165,2.7566666666666664
echo_uvent,8.0,3,517605.41,512844.79,8557.106961654743,2.0733333333333333
